
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    127.0.0.1:49749        127.0.0.1:49350        FIN_WAIT_2      22584
  TCP    127.0.0.1:49750        127.0.0.1:49350        FIN_WAIT_2      22584
  TCP    127.0.0.1:49751        127.0.0.1:49350        FIN_WAIT_2      22584
  TCP    127.0.0.1:49752        127.0.0.1:49350        FIN_WAIT_2      22584
  TCP    172.30.128.1:139       0.0.0.0:0              LISTENING       4
  TCP    172.31.144.1:139       0.0.0.0:0              LISTENING       4
  TCP    192.168.1.195:139      0.0.0.0:0              LISTENING       4
  TCP    192.168.1.195:2611     104.26.0.86:443        ESTABLISHED     10120
  TCP    192.168.1.195:3739     57.129.49.47:443       ESTABLISHED     10120
  TCP    192.168.1.195:4277     34.107.243.93:443      ESTABLISHED     7236
  TCP    192.168.1.195:4784     104.18.28.234:443      ESTABLISHED     10120
  TCP    192.168.1.195:4817     35.186.241.51:443      ESTABLISHED     10120
  TCP    192.168.1.195:4819     172.66.0.227:443       ESTABLISHED     10120
  TCP    192.168.1.195:4820     172.66.0.227:443       ESTABLISHED     10120
  TCP    192.168.1.195:4821     34.107.204.85:443      ESTABLISHED     10120
  TCP    192.168.1.195:4839     104.18.28.234:443      ESTABLISHED     10120
  TCP    192.168.1.195:4849     104.16.80.73:443       ESTABLISHED     10120
  TCP    192.168.1.195:4851     104.18.29.234:443      ESTABLISHED     10120
  TCP    192.168.1.195:4891     185.166.143.33:443     ESTABLISHED     10120
  TCP    192.168.1.195:5208     142.250.201.42:443     ESTABLISHED     10120
  TCP    192.168.1.195:5309     172.217.17.106:443     TIME_WAIT       0
  TCP    192.168.1.195:5310     20.250.119.64:443      ESTABLISHED     6296
  TCP    192.168.1.195:5391     140.82.112.22:443      ESTABLISHED     6296
  TCP    192.168.1.195:5436     172.67.152.195:443     ESTABLISHED     23016
  TCP    192.168.1.195:11055    57.144.121.134:443     ESTABLISHED     10120
  TCP    192.168.1.195:11056    57.144.120.141:443     ESTABLISHED     10120
  TCP    192.168.1.195:12925    64.233.167.188:5228    ESTABLISHED     10120
  TCP    192.168.1.195:13128    104.16.102.112:443     ESTABLISHED     10120
  TCP    192.168.1.195:13715    104.18.21.157:443      ESTABLISHED     10120
  TCP    192.168.1.195:14167    104.18.8.208:443       ESTABLISHED     10120
  TCP    192.168.1.195:14867    199.232.210.172:80     ESTABLISHED     16264
  TCP    192.168.1.195:14868    199.232.214.172:80     ESTABLISHED     16264
  TCP    192.168.1.195:15946    2.17.147.43:80         ESTABLISHED     16264
  TCP    192.168.1.195:15947    2.17.147.75:80         ESTABLISHED     16264
  TCP    192.168.1.195:24171    104.16.103.112:443     ESTABLISHED     10120
  TCP    192.168.1.195:24378    157.240.196.2:443      ESTABLISHED     10120
  TCP    192.168.1.195:31598    104.18.89.237:443      ESTABLISHED     10120
  TCP    192.168.1.195:31605    104.18.89.237:443      ESTABLISHED     10120
  TCP    192.168.1.195:40589    140.82.113.26:443      ESTABLISHED     7236
  TCP    192.168.1.195:40710    13.227.180.4:443       ESTABLISHED     10120
  TCP    192.168.1.195:41828    18.245.86.61:443       ESTABLISHED     10120
  TCP    192.168.1.195:42235    157.240.196.17:443     ESTABLISHED     10120
  TCP    192.168.1.195:42236    157.240.196.17:443     ESTABLISHED     10120
  TCP    192.168.1.195:48896    34.36.137.203:443      ESTABLISHED     7236
  TCP    192.168.1.195:48901    104.16.102.112:443     ESTABLISHED     10120
  TCP    192.168.1.195:48966    142.250.201.5:443      ESTABLISHED     10120
  TCP    192.168.1.195:49055    104.18.41.41:443       TIME_WAIT       0
  TCP    192.168.1.195:49384    172.67.70.202:443      ESTABLISHED     10120
  TCP    192.168.1.195:49408    98.66.133.186:443      ESTABLISHED     6008
  TCP    192.168.1.195:49674    13.69.68.64:443        TIME_WAIT       0
  TCP    192.168.1.195:49684    57.128.75.88:443       ESTABLISHED     5516
  TCP    192.168.1.195:49686    172.217.169.170:443    ESTABLISHED     12984
  TCP    192.168.1.195:49687    168.149.132.96:80      ESTABLISHED     5652
  TCP    192.168.1.195:49691    20.50.80.214:443       TIME_WAIT       0
  TCP    192.168.1.195:49708    85.117.32.66:443       ESTABLISHED     13912
  TCP    192.168.1.195:49716    20.50.80.214:443       ESTABLISHED     22432
  TCP    192.168.1.195:49717    168.149.132.96:80      ESTABLISHED     5652
  TCP    192.168.1.195:51078    104.18.89.237:443      ESTABLISHED     10120
  TCP    192.168.1.195:51161    3.67.245.95:443        ESTABLISHED     10120
  TCP    192.168.50.130:139     0.0.0.0:0              LISTENING       4
  TCP    [::]:135               [::]:0                 LISTENING       1616
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:2179              [::]:0                 LISTENING       3524
  TCP    [::]:5357              [::]:0                 LISTENING       4
  TCP    [::]:7070              [::]:0                 LISTENING       5516
  TCP    [::]:8080              [::]:0                 LISTENING       24644
  TCP    [::]:9042              [::]:0                 LISTENING       11240
  TCP    [::]:49664             [::]:0                 LISTENING       1264
  TCP    [::]:49665             [::]:0                 LISTENING       1156
  TCP    [::]:49666             [::]:0                 LISTENING       2892
  TCP    [::]:49667             [::]:0                 LISTENING       3692
  TCP    [::]:49670             [::]:0                 LISTENING       4948
  TCP    [::]:49682             [::]:0                 LISTENING       1228
  TCP    [::1]:9042             [::]:0                 LISTENING       19600
  UDP    0.0.0.0:53             *:*                                    4168
  UDP    0.0.0.0:53             *:*                                    4168
  UDP    0.0.0.0:500            *:*                                    5864
  UDP    0.0.0.0:3702           *:*                                    4104
  UDP    0.0.0.0:3702           *:*                                    10764
  UDP    0.0.0.0:3702           *:*                                    4104
  UDP    0.0.0.0:3702           *:*                                    10764
  UDP    0.0.0.0:4500           *:*                                    5864
  UDP    0.0.0.0:5050           *:*                                    10328
  UDP    0.0.0.0:5353           *:*                                    10120
  UDP    0.0.0.0:5353           *:*                                    15156
  UDP    0.0.0.0:5353           *:*                                    10120
  UDP    0.0.0.0:5353           *:*                                    15156
  UDP    0.0.0.0:5353           *:*                                    15156
  UDP    0.0.0.0:5353           *:*                                    2756
  UDP    0.0.0.0:5353           *:*                                    15156
  UDP    0.0.0.0:5353           *:*                                    15156
  UDP    0.0.0.0:5353           *:*                                    15156
  UDP    0.0.0.0:5353           *:*                                    10120
  UDP    0.0.0.0:5353           *:*                                    10120
  UDP    0.0.0.0:5353           *:*                                    10120
  UDP    0.0.0.0:5353           *:*                                    15156
  UDP    0.0.0.0:5355           *:*                                    2756
  UDP    0.0.0.0:49665          *:*                                    5612
  UDP    0.0.0.0:49782          104.18.41.41:443                       10120
  UDP    0.0.0.0:50001          *:*                                    5516
  UDP    0.0.0.0:53181          *:*                                    4168
  UDP    0.0.0.0:53182          *:*                                    4168
  UDP    0.0.0.0:53232          104.18.95.41:443                       10120
